"","ID","N_NESTS","LATERAL_STRUCTURE","STRUCTURE_MATERIAL","STRUCTURE_SIDE","ASYMM_SIDE","RELIABILITY","REP","categorias","match_mismatch"
"9",11,1,"y","nat","right",0,"2","n","0_right","match"
"10",14,1,"y","art","left",1,"1",NA,"1_left","match"
"13",17,1,"y","art","left",1,"1",NA,"1_left","match"
"15",19,1,"y","nat","right",0,"1",NA,"0_right","match"
"16",20,1,"y","nat","right",0,"1",NA,"0_right","match"
"27",30,1,"y","art","right",0,"2","y","0_right","match"
"31",35,1,"y","nat","left",0,"1",NA,"0_left","mismatch"
"33",37,1,"y","nat","right",0,"1",NA,"0_right","match"
"37",41,1,"y","art","right",0,"2","n","0_right","match"
"39",44,1,"y","art","left",0,"2","n","0_left","mismatch"
"42",62,1,"y","art","right",1,"2","n","1_right","mismatch"
"45",66,1,"y","art","left",0,"1",NA,"0_left","mismatch"
"46",66,2,"y","art","right",1,"1",NA,"1_right","mismatch"
"53",74,1,"y","art","left",0,"2","n","0_left","mismatch"
"55",77,1,"y","art","right",1,"1",NA,"1_right","mismatch"
"60",83,1,"y","nat","right",0,"1",NA,"0_right","match"
"65",89,1,"y","art","right",1,"1",NA,"1_right","mismatch"
"69",94,1,"y","art","right",0,"1",NA,"0_right","match"
"71",97,1,"y","art","right",1,"2","n","1_right","mismatch"
"72",99,1,"y","nat","right",0,"2","n","0_right","match"
"73",103,1,"y","art","right",1,"1",NA,"1_right","mismatch"
"77",107,1,"y","nat","right",0,"1",NA,"0_right","match"
"91",120,1,"y","nat","left",0,"2","n","0_left","mismatch"
"94",123,1,"y","nat","right",0,"1","","0_right","match"
"98",128,1,"y","art","right",0,"1","","0_right","match"
"99",129,1,"y","art","right",0,"1","","0_right","match"
"100",129,2,"y","art","right",0,"1","","0_right","match"
"106",135,1,"y","nat","right",0,"0","","0_right","match"
"108",139,1,"y","art","right",1,"2","n","1_right","mismatch"
"109",140,1,"y","art","right",1,"2","y","1_right","mismatch"
"110",141,1,"y","nat","left",0,"1","","0_left","mismatch"
"111",142,1,"y","nat","right",0,"0","","0_right","match"
"115",148,1,"y","nat","left",0,"1","","0_left","mismatch"
"116",149,1,"y","nat","left",0,"1","","0_left","mismatch"
"121",154,1,"y","nat","right",0,"0","","0_right","match"
"122",155,1,"y","nat","right",0,"2","n","0_right","match"
"125",158,1,"y","art","left",1,"1","","1_left","match"
"126",159,1,"y","nat","left",0,"0","","0_left","mismatch"
"127",160,1,"y","nat","left",0,"1","","0_left","mismatch"
"130",169,1,"y","art","right",0,"2","y","0_right","match"
"131",169,2,"y","art","right",0,"2","n","0_right","match"
"149",196,1,"y","art","right",1,"0","","1_right","mismatch"
"153",201,1,"y","nat","right",0,"1","","0_right","match"
"155",203,1,"y","art","left",0,"1","","0_left","mismatch"
"156",204,1,"y","art","right",0,"2","y","0_right","match"
"157",205,1,"y","art","right",0,"1","","0_right","match"
"159",210,1,"y","art","right",0,"2","y","0_right","match"
"169",225,1,"y","art","left",0,"1","","0_left","mismatch"
"173",229,1,"y","art","left",1,"1","","1_left","match"
"175",231,1,"y","art","right",0,"2","n","0_right","match"
"179",235,1,"y","art","right",0,"2","y","0_right","match"
"180",236,1,"y","nat","right",0,"2","n","0_right","match"
"181",237,1,"y","art","right",0,"2","y","0_right","match"
"192",251,1,"y","art","left",0,"2","n","0_left","mismatch"
"193",256,1,"y","nat","left",0,"2","n","0_left","mismatch"
"197",262,1,"y","nat","left",0,"1","","0_left","mismatch"
"205",276,1,"y","art","right",0,"1","","0_right","match"
"212",291,1,"y","art","right",0,"1","","0_right","match"
"218",307,1,"y","art","left",0,"2","n","0_left","mismatch"
"223",314,1,"y","nat","left",0,"0","","0_left","mismatch"
"224",315,1,"y","nat","left",0,"1","","0_left","mismatch"
"225",317,1,"y","art","left",0,"2","n","0_left","mismatch"
"226",317,2,"y","art","right",0,"2","n","0_right","match"
"240",334,1,"y","nat","left",0,"1","","0_left","mismatch"
"242",336,1,"y","nat","left",0,"2","n","0_left","mismatch"
"246",344,1,"y","art","left",0,"1","","0_left","mismatch"
"249",347,1,"y","nat","right",0,"1","","0_right","match"
"250",348,1,"y","nat","left",1,"1","","1_left","match"
"251",349,1,"y","nat","left",0,"1","","0_left","mismatch"
"253",351,1,"y","nat","right",0,"2","n","0_right","match"
"256",354,1,"y","nat","left",1,"2","n","1_left","match"
"260",359,1,"y","nat","left",1,"2","n","1_left","match"
"267",382,2,"y","art","left",0,"1","","0_left","mismatch"
"273",395,1,"y","art","left",0,"2","n","0_left","mismatch"
"274",396,1,"y","art","left",1,"1","","1_left","match"
"287",414,1,"y","nat","right",0,"1","","0_right","match"
"292",432,1,"y","nat","left",1,"1","","1_left","match"
"294",434,1,"y","nat","left",1,"1","","1_left","match"
"298",439,1,"y","art","right",0,"1","","0_right","match"
"313",457,1,"y","art","left",1,"2","n","1_left","match"
"314",459,1,"y","art","left",0,"2","n","0_left","mismatch"
"326",482,1,"y","art","left",1,"2","n","1_left","match"
"335",499,1,"y","nat","left",1,"1","","1_left","match"
"339",506,1,"y","nat","left",1,"0","","1_left","match"
"341",508,1,"y","nat","right",0,"2","n","0_right","match"
"343",510,1,"y","art","right",0,"2","y","0_right","match"
"344",511,1,"y","art","right",0,"2","y","0_right","match"
"345",512,1,"y","art","left",1,"2","y","1_left","match"
"346",513,1,"y","art","left",1,"2","y","1_left","match"
"348",515,1,"y","nat","left",1,"1","","1_left","match"
"349",516,1,"y","art","right",0,"2","n","0_right","match"
"350",516,2,"y","art","left",0,"2","n","0_left","mismatch"
"351",517,1,"y","nat","right",0,"0","","0_right","match"
"352",517,2,"y","nat","left",0,"2","n","0_left","mismatch"
"355",520,1,"y","nat","left",1,"2","y","1_left","match"
"362",525,1,"y","nat","right",1,"1","","1_right","mismatch"
"368",533,1,"y","art","right",0,"2","y","0_right","match"
"372",538,1,"y","nat","left",1,"2","n","1_left","match"
"386",552,1,"y","nat","left",1,"2","y","1_left","match"
"389",556,1,"y","art","left",1,"1","","1_left","match"
"391",558,1,"y","nat","right",0,"2","n","0_right","match"
"394",562,1,"y","nat","right",1,"1","","1_right","mismatch"
"413",590,3,"y","nat","right",0,"1","","0_right","match"
"414",590,4,"y","nat","right",0,"1","","0_right","match"
"417",593,1,"y","nat","right",0,"1","","0_right","match"
"425",609,1,"y","art","left",1,"2","y","1_left","match"
"426",610,1,"y","nat","left",0,"2","n","0_left","mismatch"
"432",623,1,"y","art","right",0,"2","n","0_right","match"
"442",632,1,"y","art","left",0,"2","n","0_left","mismatch"
"444",634,1,"y","nat","right",0,"1","","0_right","match"
"445",636,1,"y","nat","left",1,"0","","1_left","match"
"446",637,1,"y","nat","left",1,"2","y","1_left","match"
"449",641,1,"y","nat","left",1,"1","","1_left","match"
"450",642,1,"y","art","right",0,"1","","0_right","match"
"458",651,1,"y","art","right",0,"2","n","0_right","match"
"460",652,1,"y","art","right",0,"1","","0_right","match"
"462",654,1,"y","nat","left",0,"1","","0_left","mismatch"
"463",655,1,"y","art","left",0,"1","","0_left","mismatch"
"467",659,1,"y","nat","right",0,"2","n","0_right","match"
"468",660,1,"y","nat","left",0,"2","n","0_left","mismatch"
"470",662,1,"y","nat","right",0,"2","y","0_right","match"
"472",663,2,"y","nat","right",0,"2","n","0_right","match"
"475",665,1,"y","nat","right",0,"1","","0_right","match"
"476",666,1,"y","nat","left",0,"2","n","0_left","mismatch"
"478",668,1,"y","nat","left",0,"1","","0_left","mismatch"
"481",671,1,"y","nat","left",1,"2","n","1_left","match"
"485",676,1,"y","nat","right",0,"2","n","0_right","match"
"487",678,1,"y","nat","left",0,"1","","0_left","mismatch"
"488",679,1,"y","art","left",1,"2","n","1_left","match"
"489",680,1,"y","nat","right",0,"1","","0_right","match"
"492",684,1,"y","nat","right",1,"1","","1_right","mismatch"
"493",685,1,"y","art","right",0,"1","","0_right","match"
"498",690,1,"y","art","left",0,"2","n","0_left","mismatch"
"509",702,1,"y","nat","left",1,"2","n","1_left","match"
"512",705,1,"y","nat","right",0,"2","n","0_right","match"
"520",718,1,"y","art","left",0,"2","n","0_left","mismatch"
"521",719,1,"y","art","right",0,"2","y","0_right","match"
"526",727,1,"y","art","right",1,"1","","1_right","mismatch"
